Model_name,Accuracy_score(%),F1(%),Number_of_rows
audi_a1,79,81,2943
audi_a3,67,64,2943
audi_a4,100,100,2943
audi_q2,85,86,2943
audi_q3,87,85,2943
audi_q5,68,68,2943
audi_q7,100,100,2943
audi_q8,100,100,2943
audi_rs3,83,84,2943
audi_rs4,100,100,2943
audi_rs6,100,100,2943
audi_s3,100,100,2943
audi_sq5,66,80,2943
audi_tt,33,16,2943
bmw_1_series,79,77,4903
bmw_2_series,70,70,4903
bmw_3_series,69,65,4903
bmw_4_series,88,83,4903
bmw_5_series,66,62,4903
bmw_7_series,50,33,4903
bmw_m2,83,81,4903
bmw_m3,33,27,4903
bmw_m4,77,77,4903
bmw_m5,25,30,4903
bmw_x1,76,74,4903
bmw_x2,66,53,4903
bmw_x3,77,77,4903
bmw_x4,58,50,4903
bmw_x5,75,74,4903
bmw_x6,55,47,4903
bmw_x7,83,84,4903
byd_dolphin_surf,50,33,360
ferrari_488,75,85,165
fiat_500,100,100,172
fiat_500x,100,100,172
ford_ecosport,77,76,9230
ford_everest,64,63,9230
ford_fiesta,76,73,9230
ford_figo,94,93,9230
ford_focus,75,76,9230
ford_kuga,72,68,9230
ford_mustang,44,41,9230
ford_puma,86,89,9230
ford_ranger,68,66,9230
ford_territory,76,74,9230
ford_tourneo_custom,54,49,9230
ford_transit_custom,83,75,9230
gwm_p300,90,91,1313
gwm_pseries,63,59,1313
gwm_steed_5,60,52,1313
gwm_tank_300,85,85,1313
gwm_tank_500,50,50,1313
haval_h1,100,100,2710
haval_h2,35,34,2710
haval_h6,56,56,2710
haval_h6_c,75,83,2710
haval_h6_gt,81,81,2710
haval_h7,33,28,2710
haval_jolion,54,52,2710
haval_jolion_pro,90,90,2710
honda_amaze,82,79,735
honda_ballade,50,33,735
honda_brio,100,100,735
honda_brv,66,53,735
honda_civic,50,66,735
honda_crv,66,66,735
honda_elevate,71,72,735
honda_fit,62,66,735
honda_hrv,62,57,735
honda_jazz,50,33,735
honda_wrv,100,100,735
hyundai_accent,83,75,5332
hyundai_alcazar,72,71,5332
hyundai_atos,71,71,5332
hyundai_creta,77,76,5332
hyundai_elantra,100,100,5332
hyundai_exter,68,67,5332
hyundai_grand_creta,100,100,5332
hyundai_grand_i10,75,74,5332
hyundai_h1,85,82,5332
hyundai_h100,85,85,5332
hyundai_i10,50,33,5332
hyundai_i20,89,88,5332
hyundai_i30,0,0,5332
hyundai_kona,78,70,5332
hyundai_palisade,100,100,5332
hyundai_santa_fe,55,55,5332
hyundai_staria,75,79,5332
hyundai_tucson,71,69,5332
hyundai_venue,68,69,5332
isuzu_dmax,64,61,2426
isuzu_dmax_gen_6,66,65,2426
isuzu_kb,60,61,2426
isuzu_mux,63,63,2426
jaecoo_j5,81,81,653
jaecoo_j7,63,57,653
jaguar_fpace,83,76,264
jeep_gladiator,100,100,540
jeep_grand_cherokee,66,67,540
jeep_renegade,75,76,540
jeep_wrangler,100,100,540
jetour_dashing,84,83,1038
jetour_x70_plus,91,92,1038
kia_carnival,0,0,3129
kia_k2500,75,64,3129
kia_k2700,81,77,3129
kia_pegas,86,85,3129
kia_picanto,70,68,3129
kia_rio,73,71,3129
kia_seltos,61,61,3129
kia_sonet,71,72,3129
kia_sorento,80,75,3129
kia_sportage,65,62,3129
lamborghini_urus,100,100,43
land_rover_defender,73,71,1916
land_rover_discovery,77,77,1916
land_rover_discovery_4,50,33,1916
land_rover_discovery_sport,64,66,1916
land_rover_range_rover_evoque,77,77,1916
land_rover_range_rover_sport,52,43,1916
lexus_es,66,53,330
lexus_gx,100,100,330
lexus_nx,100,100,330
mini_clubman,100,100,528
mini_cooper,100,100,528
mini_countryman,64,59,528
mini_hatch,71,67,528
mahindra_bolero,50,66,1867
mahindra_kuv100,100,100,1867
mahindra_kuv100_nxt,100,100,1867
mahindra_pik_up,72,72,1867
mahindra_scorpio,50,33,1867
mahindra_scorpio_pikup,0,0,1867
mahindra_scorpion,22,13,1867
mahindra_xuv300,46,46,1867
mahindra_xuv500,50,33,1867
mahindra_xuv700,50,57,1867
mahindra_xuv_3xo,59,60,1867
maserati_levante,100,100,68
mazda_bt50,100,100,926
mazda_cx3,66,65,926
mazda_cx30,0,0,926
mazda_cx5,82,83,926
mazda_cx60,50,66,926
mazda_mazda2,92,91,926
mazda_mazda3,66,80,926
mercedesamg_aclass,100,100,612
mercedesamg_cclass,70,64,612
mercedesamg_cla,100,100,612
mercedesamg_eclass,100,100,612
mercedesamg_gclass,66,71,612
mercedesamg_glc,0,0,612
mercedesamg_gle,80,71,612
mercedesbenz_aclass,71,69,3633
mercedesbenz_bclass,50,33,3633
mercedesbenz_cclass,72,70,3633
mercedesbenz_cla,64,59,3633
mercedesbenz_eclass,50,50,3633
mercedesbenz_gclass,50,66,3633
mercedesbenz_gla,72,68,3633
mercedesbenz_glb,60,60,3633
mercedesbenz_glc,74,72,3633
mercedesbenz_gle,85,83,3633
mercedesbenz_ml,0,0,3633
mercedesbenz_sclass,0,0,3633
mercedesbenz_vclass,74,69,3633
mercedesbenz_vito,85,82,3633
mercedesbenz_xclass,100,100,3633
mitsubishi_asx,87,81,652
mitsubishi_eclipse_cross,50,52,652
mitsubishi_pajero,100,100,652
mitsubishi_pajero_sport,90,90,652
mitsubishi_triton,75,75,652
mitsubishi_xpander,100,100,652
nissan_almera,93,92,3288
nissan_juke,100,100,3288
nissan_magnite,72,71,3288
nissan_micra,80,80,3288
nissan_micra_active,100,100,3288
nissan_navara,68,67,3288
nissan_np200,94,94,3288
nissan_np300_hardbody,66,62,3288
nissan_patrol,100,100,3288
nissan_qashqai,89,89,3288
nissan_xtrail,72,72,3288
omoda_c5,58,57,1092
omoda_c9,55,53,1092
porsche_718_cayman,0,0,814
porsche_911,83,90,814
porsche_cayenne,79,77,814
porsche_macan,75,68,814
suzuki_baleno,75,75,6707
suzuki_celerio,72,76,6707
suzuki_ciaz,88,89,6707
suzuki_dzire,75,70,6707
suzuki_eeco,75,64,6707
suzuki_ertiga,81,79,6707
suzuki_fronx,73,69,6707
suzuki_grand_vitara,66,66,6707
suzuki_ignis,66,66,6707
suzuki_jimny,61,59,6707
suzuki_spresso,75,74,6707
suzuki_super_carry,85,86,6707
suzuki_swift,71,70,6707
suzuki_vitara,100,100,6707
suzuki_vitara_brezza,73,76,6707
suzuki_xl6,100,100,6707
toyota_agya,57,46,13426
toyota_avanza,33,16,13426
toyota_aygo,50,50,13426
toyota_chr,85,86,13426
toyota_corolla,30,23,13426
toyota_corolla_cross,72,71,13426
toyota_corolla_quest,76,75,13426
toyota_etios,75,68,13426
toyota_fj_cruiser,75,85,13426
toyota_fortuner,71,68,13426
toyota_hiace,90,90,13426
toyota_hilux,67,66,13426
toyota_land_cruiser_200,75,75,13426
toyota_land_cruiser_300,80,80,13426
toyota_land_cruiser_76,50,50,13426
toyota_land_cruiser_79,67,61,13426
toyota_land_cruiser_prado,90,90,13426
toyota_quantum,61,61,13426
toyota_rav4,60,56,13426
toyota_rumion,77,75,13426
toyota_rush,66,53,13426
toyota_starlet,76,75,13426
toyota_starlet_cross,69,62,13426
toyota_urban_cruiser,74,72,13426
toyota_vitz,81,83,13426
toyota_yaris,70,70,13426
volkswagen_amarok,57,54,12326
volkswagen_caddy,61,61,12326
volkswagen_caravelle,66,70,12326
volkswagen_golf,73,71,12326
volkswagen_kombi,77,68,12326
volkswagen_polo,76,74,12326
volkswagen_polo_vivo,80,79,12326
volkswagen_taigo,76,73,12326
volkswagen_tayron,75,85,12326
volkswagen_tcross,78,75,12326
volkswagen_tiguan,68,67,12326
volkswagen_tiguan_allspace,72,71,12326
volkswagen_touareg,75,74,12326
volkswagen_transporter,62,62,12326
volkswagen_troc,76,72,12326
volkswagen_up,75,64,12326
volvo_xc40,60,56,455
volvo_xc60,75,73,455
volvo_xc90,100,100,455
